,id,native,language,probabilities,english_only,text
2548,3674.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",[en:0.9999976937287942],True,"Hi, I'm a French student in university and I really enjoy to speak in English (even though I'm still learning ), I would be happy to improve and learn from natives speakers : ) If you want to learn french you could write me in french and i will write in english, so we will help each-other : ) Regarding Spanish, I have to be honest, despite having classes during 7 years, I may not be able to maintain a conversation : / But I can still try my best with the few words I know : )"
2549,3675.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999963832059708],True,"I'm French and I 'm a retired German teacher. Despite my age I still hope to be able to improve my school English by chatting in front of a cup of coffee with a native speaker from the UK , in return I would assist you in improving your French."
2550,3676.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.99999792804739],True,"Hi ! I search a conversation partner to improve my English (I'm a intermediate) because I would like to study and maybe work in a English speaker country. I'm really involved I already a summer camp this year with the aim of perfect my English, I watch movies and I read in English. Obviously, I will delighted to teach French to another person."
2551,3677.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999996427198601],True,Hi I need to practice my english i am looking for someone fun and talkative to speak with just few minutes regurlarly about our hobbies or daily Time.
2552,3679.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999976593386175],True,"Hello i'm looking to improve my knowledge in english. I can also help you in french, it's my native language. I can use any software for tchat you want."
2553,3681.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999955445693034],True,"Hi, I'm French. I would like to speak with a native to improve my English. I'm interested in helping anybody practice their French."
2554,3683.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999955512743675],True,"Hey there, I am looking to practice my English."
2555,3684.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]",[en:0.9999961401718159],True,"Hello. I am a french native living near Paris. I would like to improve my conversation skills in english. My level is pre-intermediate and I am far from a fluent conversation. We could discuss drinking a coffee or a tea switching in french and in english. If you want to improve your french skills, I am a scholar at university in historical field. Do not hesitate and see you soon. Hallo. Ich möchte meine deutsche Sprache verbessern. Ich kann helfen Ihnen Ihre französische Sprache zu arbeiten."
2556,3686.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999958133382221],True,"I would like to speak language each week : practice and exchange about some thems or daily life like friends (for example half an hour french and half an hour british english). If you can't you have to tell me before, it's not a problem, it's an hobby. I can help you to practise french, for me it's a share, an exchange and a pleisure to practise language. I had experience to be language partner on this site"
2558,3689.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999969492033673],True,"I would like exchange in french and english with a woman, I love to learn English but I would like to practice. I can help you to learn french"
2559,3694.0,French,"[{'language': 'German', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999965769289811],True,"Hi ! I'm Nicolas a 27 years old student in economics and eager to learn and to improve my language skills and help others to improve theirs either. I'm curious person and willing to talk about a wide range of subjects. I'm interested in improve my English, German and Spanish. And I can provide my French which is my native language."
2560,3695.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999948810165937],True,"Hello, i would like to improve my english with a natif speaker. I am open minded and interested by a lot of areas."
2562,3699.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999997645256715],True,Hello! I'm a french student and I want to improve my English level. I'm a girl of 18 years old who like anime and manga. If someone wants to learn French we can help each other by chatting! ( I want to improve my skill in writing and speaking English but I'm very shy ^^' so at first we will just chat by writing and maybe if I have enough confidence we will chat by speaking.
2563,3700.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999958268475001],True,Hey ! I am Katell and I would like improve my English
2564,3701.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.999998206657765],True,"Hi, I am Chirine, I'm 54 years old, I'm aiming to exchange discussion with anglophone people in order to improve my English. I read a lot of books in English, as well I enjoy watching movies and international news, but I think having conversations can be a great way to improve this knowledge."
2565,3702.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.99999890796373],True,HI! I'd like to meet people and practice my English which is far from a perfect one. I haven't practiced since I left the US 2 years ago.
2566,3703.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999962701739927],True,"Hi! I am Dedele, I am passionate about music (rock, punk), I like drawing and watching series. I would like to improve my English which I understand in writing but I lack experience in speaking."
2567,3704.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]",[en:0.9999971156262599],True,"Hello! I am young student and I want to expand my English skills, Don't hesitate to come and talk to me if you have time! Have a nice day!"
2568,3705.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999960191322195],True,"Hi everyone ! I love learning new things, mostly english lately ! I'd like to speak english with native speakers. If you're learning French, I will happily help you learn it."
2569,3708.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999966242494813],True,Hi! I really want to improve my english. Would like to exchange with someone that wants to learn French. Pleasure to talk with you!
2571,3710.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Portuguese', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",[en:0.9999965096265563],True,Hello everyone ! I am an French native who is looking for opportunities to practice English with a native. I am upper-intermediate level and I would like to improve my english speaking. I can help you to practise your french too. Look forward to hearing from you !
2573,3713.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999969949009231],True,A clever student with interest in areas surrounding mathemics and eager to learn new languages with amazing people!
2574,3714.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999952696109531],True,"Hello ! I am interested in english (and american) culture, especially literature and philosophy. I translate books and need sometimes help for baffling cases... I can help in return for french, written, and, possibly, spoken. My interests are in arts, thoughts, science, individuals, and... life. Read you soon !"
2575,3715.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999961222419925],True,"Hello, I live in the French Alps in a large valley near Grenoble. I love nature and hiking, music of all kinds, except hip-hop and rap, literature, novels or poetry, old or recent. I feel concerned by many social issues and would enjoy discussing them. I have been learning English for four years, initially to travel, but I discovered during this journey how compelling this language and culture can be. If you need to improve your French and want to have interesting discussions, think of me !"
2576,3719.0,French,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",[en:0.9999964395461658],True,"I will be soon on retirement. I'm working in a business school and have many contacts in French with all level students. I have always worked with english, but I'd like to get a better level in speaking and to exchange with native english people. I have a siamese cat? I love cats. I like to make trips in Europe, Africa or USA, and to meet with my friends. I can talk about any topic since it's interesting."
